,section,round,Bd,Res,White,Res.1,Black
0,open,round3,1,1,Federico Santoni (2015 0.0),0.0,Leah Brown (1559 0.0)
1,open,round3,2,0,Jay Goguen (1546 0.0),1.0,Nikita Panasenko (1963 0.0)
2,open,round3,3,1,Bob Secino (1908 0.0),0.0,Mike Bergeron (1518 0.0)
3,open,round3,4,0,Tom Fratturelli (1500 0.0),1.0,Roger Cappallo (1900 0.0)
4,open,round3,5,1,Mike Commisso (1892 0.0),0.0,Fred Abramowitz (1478 0.0)
5,open,round3,6,0,Walter Paton (1443 0.0),1.0,Todd Tsakiris (1874 0.0)
6,open,round3,7,1,Dave Couture (1841 0.0),0.0,Brian Biglow (1400 0.0)
7,open,round3,8,1,Steve Koroskenyi (1353 0.0),0.0,Leo Marzoratti (1827 0.0)
8,open,round3,9,1,Stephen Smith (1800 0.0),0.0,Bryan Macdonald (1343 0.0)
9,open,round3,10,0,Larry O'Rourke (1321 0.0),1.0,Toby Barry (1784 0.0)
10,open,round3,,½,Mike Manisy (1843 0.0),,BYE
11,open,round3,,½,Duy Nguyen (1756 0.0),,BYE
12,open,round3,,½,Ray Paulson (1917 0.0),,BYE
13,open,round3,,½,Bruce Felton (1878 0.0),,BYE
14,open,round3,,½,Mike Urbonas (1906 0.0),,BYE
15,open,round3,,½,Don Ostrowski (1655 0.0),,BYE
16,open,round3,,½,Alonzo Ross (1900 0.0),,BYE
17,open,round3,,½,George Mirijanian (1900 0.0),,BYE
18,u1600,round3,11,1,Mariano Rivera (1745 0.0),0.0,Emily Gawboy (1286 0.0)
19,u1600,round3,12,0,Albenie Allain (1089 0.0),1.0,Gary Brassard (1700 0.0)
20,u1600,round3,13,1,Michael David (1661 0.0),0.0,James Essary (1068 0.0)
21,u1600,round3,14,0,Brian Smith ( 957 0.0),1.0,Ansh Nandurbarkar (1646 0.0)
22,u1600,round3,15,1,Jim Donahue (1645 0.0),0.0,Paul Leblanc ( 591 0.0)
23,u1600,round3,16,0,Al Bump ( 562 0.0),1.0,Larry Spencer (1637 0.0)
24,u1600,round3,17,1,Ken Gurge (1628 0.0),0.0,Paul Soltysiak ( 380 0.0)
25,u1600,round3,18,0,Peter Smith ( 279 0.0),1.0,George Jordy (1624 0.0)
26,u1600,round3,19,1,Matt Phelps (1613 0.0),0.0,Patrick Smith ( 102 0.0)
27,u1600,round3,,½,Paul Lynch (1583 0.0),,BYE
28,u1600,round3,,½,Sam Park (1463 0.0),,BYE
29,u1600,round3,,½,Bob Anderson (1436 0.0),,BYE
30,u1600,round3,,½,Mark Wheeler (1418 0.0),,BYE
31,u1600,round3,,½,Daniel Young (1163 0.0),,BYE
32,u1600,round3,,0,Hugh McLaughlin (1253 0.0),,BYE
33,u1600,round3,,0,Alex Cote ( 945 0.0),,BYE
34,u1600,round3,,0,David Smith ( 777 0.0),,BYE
35,u1600,round3,,0,Sam Smith ( 488 0.0),,BYE
36,u1600,round3,,0,Nitheesh Boppana ( 383 0.0),,BYE
37,u1600,round3,,1,David Liu ( 278 0.0),,BYE
